cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
93,17.69,6.89,-20.35,0.1348,0.1631,0.2848,#222948,288.7,17
94,17.73,3.61,-12.77,0.1495,0.1671,0.2419,#262a3d,285.8,58
95,20.97,2.02,-10.48,0.1757,0.1967,0.2577,#2c3241,280.9,461
96,25.47,1.41,-12.48,0.2018,0.2374,0.3101,#333c4f,276.5,272
97,22.19,5.72,-4.13,0.2312,0.1979,0.2324,#3a323b,324.2,171
98,30.61,8.6,-9.84,0.3076,0.2674,0.3428,#4e4457,311.1,112
99,29.01,12.32,-4.67,0.3298,0.2427,0.2974,#543d4b,339.2,12
100,13.12,7.08,2.23,0.1743,0.1184,0.1213,#2c1e1e,17.4,95
101,15.57,4.98,-3.67,0.1713,0.1439,0.173,#2b242c,323.6,267
102,13.92,15.27,-15.62,0.1791,0.1109,0.225,#2d1c39,314.4,12
103,15.32,21.63,-9.65,0.2399,0.1003,0.2051,#3d1934,336.0,61
104,16.94,18.19,3.22,0.2615,0.1207,0.1482,#421e25,10.0,181
105,15.73,11.44,-2.12,0.2099,0.1306,0.1665,#35212a,349.5,205
106,19.54,14.06,2.93,0.2662,0.1542,0.1706,#43272b,11.8,568
107,23.13,25.78,14.19,0.3686,0.146,0.1384,#5d2523,28.8,121
108,24.45,41.86,19.33,0.4555,0.0683,0.1235,#74111f,24.8,29
109,28.83,29.73,16.88,0.4485,0.1823,0.1704,#722e2b,29.6,57
110,25.44,15.34,3.4,0.3288,0.2014,0.2183,#533337,12.5,37
111,23.63,20.89,9.67,0.3468,0.1682,0.1676,#582a2a,24.8,31
112,22.81,23.07,3.68,0.3411,0.1554,0.1953,#562731,9.1,180
113,19.2,22.39,4.31,0.3035,0.126,0.1614,#4d2029,10.9,285
114,19.63,10.76,10.07,0.2616,0.1618,0.1307,#422921,43.1,324
115,16.22,4.94,5.55,0.196,0.1472,0.1277,#312520,48.3,197
116,21.6,6.91,4.49,0.2519,0.1883,0.1781,#40302d,33.0,606
117,19.32,5.77,2.41,0.2216,0.1719,0.1707,#382b2b,22.7,636
118,25.62,12.73,12.36,0.331,0.2078,0.167,#54342a,44.2,188
119,28.06,4.46,10.68,0.3092,0.2485,0.1963,#4e3f32,67.3,26
120,28.5,7.2,4.65,0.3171,0.2477,0.2366,#503f3c,32.9,234
121,47.79,13.26,-11.53,0.4984,0.4178,0.5213,#7f6a84,319.0,36
