cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
138,66.95,-53.8,41.12,0.2639,0.7256,0.3309,#43b954,142.6,7
139,75.24,-13.95,14.71,0.6652,0.7529,0.6188,#a9bf9d,133.5,18
140,78.18,-8.76,7.75,0.7155,0.7755,0.7008,#b6c5b2,138.5,42
141,71.61,-10.29,0.73,0.6086,0.7099,0.6813,#9bb5ad,176.0,93
142,65.67,-8.49,1.17,0.5637,0.6432,0.6162,#8fa49d,172.2,86
143,84.04,-13.22,-0.5,0.7099,0.8513,0.8237,#b5d9d2,182.2,11
144,85.93,-4.61,-2.73,0.7954,0.854,0.862,#cad9db,210.7,67
145,89.98,-0.55,-3.97,0.8685,0.8898,0.9166,#dde2e9,262.2,76
146,93.59,1.08,-2.24,0.9283,0.9257,0.9444,#ececf0,295.8,178
147,92.28,0.16,1.12,0.9181,0.9122,0.9045,#eae8e6,81.9,784
148,85.49,-0.92,3.03,0.8408,0.839,0.8153,#d6d5cf,106.9,68
149,81.89,1.89,11.59,0.8481,0.7908,0.7142,#d8c9b6,80.8,163
150,88.52,-0.29,6.58,0.8907,0.87,0.8223,#e3ddd1,92.5,145
151,86.14,0.95,9.22,0.8815,0.8401,0.7771,#e0d6c6,84.1,419
152,80.62,7.43,6.08,0.8587,0.765,0.7415,#dac3bd,39.3,30
153,80.84,2.1,7.31,0.826,0.78,0.7341,#d2c6bb,73.9,164
154,83.53,2.53,3.31,0.8466,0.8094,0.7923,#d7ceca,52.6,22
155,81.35,3.8,-0.47,0.82,0.7836,0.7963,#d1c7cb,352.9,21
156,84.58,0.95,-1.21,0.831,0.8259,0.8367,#d3d2d5,308.2,237
157,89.47,0.7,-0.3,0.8861,0.8801,0.8839,#e1e0e1,336.7,1115
158,82.78,2.16,-6.55,0.8015,0.8049,0.856,#cccdda,288.2,69
159,81.35,-1.24,-8.57,0.7504,0.7978,0.8545,#bfcbd9,261.8,66
160,71.09,-2.26,-9.94,0.6271,0.6903,0.7523,#9fb0bf,257.2,20
161,70.89,1.65,-4.98,0.6755,0.6779,0.7155,#acacb6,288.3,50
162,78.75,0.01,1.51,0.7693,0.7638,0.7532,#c4c2c0,89.7,228
163,75.82,-0.32,-1.79,0.7241,0.734,0.7454,#b8bbbe,259.9,47
164,64.96,-0.24,0.32,0.6173,0.6184,0.6157,#9d9d9d,126.5,211
165,68.94,3.36,-0.33,0.6834,0.652,0.6623,#aea6a8,354.4,28
166,72.15,0.51,0.71,0.6997,0.6922,0.6885,#b2b0af,54.4,213
167,92.46,-15.15,18.39,0.8538,0.9446,0.7749,#d9f0c5,129.5,23
168,84.56,-13.09,10.53,0.7585,0.8539,0.7483,#c1d9be,141.2,15
169,86.38,-7.15,29.84,0.8784,0.8567,0.6249,#dfda9f,103.5,34
170,83.18,-6.73,22.74,0.8287,0.8222,0.6445,#d3d1a4,106.5,21
171,89.7,-8.84,23.33,0.887,0.8987,0.7089,#e2e5b4,110.8,45
