cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
352,89.87,-14.68,21.12,0.8371,0.9138,0.7263,#d5e9b9,124.8,106
353,88.25,-17.56,15.85,0.7792,0.903,0.748,#c6e6be,137.9,134
354,84.41,-55.0,62.52,0.5271,0.9197,0.323,#86ea52,131.3,6
355,80.68,-38.06,37.67,0.5858,0.8532,0.4998,#95d97f,135.3,5
356,80.2,-45.99,24.13,0.4425,0.8633,0.5965,#70dc98,152.3,7
357,87.66,-42.44,13.37,0.5123,0.9439,0.7566,#82f0c0,162.5,1
358,78.94,14.02,64.84,0.9822,0.7188,0.2699,#fab744,77.8,89
359,72.49,24.35,65.08,0.9632,0.6215,0.2031,#f59e33,69.5,50
360,73.09,19.84,49.03,0.9304,0.6429,0.3491,#eda359,68.0,12
361,71.3,12.33,37.84,0.851,0.6462,0.4151,#d8a469,71.9,83
362,64.0,12.94,41.26,0.7753,0.5685,0.3179,#c59051,72.6,16
363,66.93,20.16,36.67,0.8454,0.5799,0.3828,#d79361,61.2,67
364,71.49,3.2,25.07,0.7741,0.6733,0.5085,#c5ab81,82.7,161
365,69.16,6.25,18.48,0.755,0.6428,0.5326,#c0a387,71.3,274
366,73.53,4.78,16.35,0.7883,0.6929,0.5923,#c9b097,73.7,347
367,80.51,6.34,12.89,0.8679,0.7647,0.6906,#ddc2b0,63.8,46
368,76.32,7.37,18.74,0.842,0.7157,0.6044,#d6b69a,68.5,135
369,80.57,15.95,31.0,0.9702,0.7363,0.5605,#f7bb8e,62.8,34
370,79.05,5.78,25.51,0.8765,0.7475,0.5832,#dfbe94,77.2,72
371,82.3,-12.54,66.71,0.8562,0.8184,0.275,#dad046,100.6,7
372,86.99,-8.84,70.4,0.9405,0.8612,0.2916,#efdb4a,97.2,27
373,78.35,0.05,32.51,0.844,0.7523,0.523,#d7bf85,89.9,54
374,83.91,-0.53,39.9,0.9169,0.8126,0.524,#e9cf85,90.8,71
375,80.6,-2.17,66.78,0.9044,0.7769,0.2605,#e6c642,91.9,12
376,80.57,4.8,66.4,0.9473,0.7599,0.2676,#f1c144,85.9,26
377,71.26,-10.06,63.12,0.7414,0.695,0.189,#bdb130,99.1,14
378,57.61,-14.86,58.47,0.5535,0.5633,0.0676,#8d8f11,104.3,1
379,70.33,0.45,43.87,0.7749,0.6643,0.3562,#c5a95a,89.4,16
380,62.82,0.01,64.49,0.708,0.5852,0.0609,#b4950f,90.0,15
381,71.3,2.15,73.43,0.8262,0.6673,0.0247,#d2aa06,88.3,10
382,61.64,9.34,57.38,0.743,0.5517,0.1536,#bd8c27,80.8,29
383,55.18,4.21,58.16,0.6405,0.4991,0.0542,#a37f0d,85.9,15
384,60.72,-1.6,47.24,0.6589,0.569,0.2335,#a8913b,91.9,57
385,53.16,4.83,21.43,0.58,0.4823,0.3545,#937a5a,77.3,79
386,48.58,4.37,17.77,0.5231,0.4389,0.3358,#856f55,76.2,58
387,48.06,11.34,43.68,0.5893,0.4136,0.1453,#966925,75.4,10
388,47.14,-0.38,37.97,0.509,0.4322,0.1787,#816e2d,90.6,8
