cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
76,84.32,-16.15,69.18,0.8581,0.8478,0.2703,#dad844,103.1,11
77,80.82,-12.4,42.78,0.805,0.805,0.467,#cdcd77,106.2,60
78,58.69,1.35,16.19,0.6059,0.5467,0.4432,#9a8b71,85.2,50
79,56.26,-2.43,9.92,0.5404,0.5316,0.4614,#898775,103.7,79
80,64.04,3.08,15.83,0.6729,0.5977,0.4991,#ab987f,79.0,205
81,62.56,3.76,7.72,0.6422,0.5828,0.5405,#a39489,64.0,49
82,58.57,4.69,15.31,0.6243,0.5381,0.4486,#9f8972,73.0,88
83,73.27,2.33,14.91,0.7653,0.6963,0.5995,#c3b198,81.1,416
84,68.18,5.75,28.04,0.7595,0.6318,0.4544,#c1a173,78.4,43
85,75.41,5.44,26.98,0.8362,0.709,0.5349,#d5b488,78.6,35
86,66.48,1.95,11.93,0.6821,0.6265,0.5508,#ad9f8c,80.7,200
87,78.43,1.59,8.0,0.7978,0.7549,0.7032,#cbc0b3,78.8,155
88,76.22,0.59,3.89,0.7541,0.7346,0.7091,#c0bbb4,81.3,255
89,71.21,0.41,6.93,0.7082,0.6808,0.6346,#b4ada1,86.6,111
90,78.61,-0.46,5.74,0.7778,0.7622,0.7212,#c6c2b7,94.6,89
91,55.85,26.68,49.96,0.7643,0.4462,0.1747,#c2712c,61.9,16
92,50.16,16.11,37.46,0.6328,0.4223,0.2163,#a16b37,66.7,39
93,79.31,10.92,57.73,0.9609,0.7318,0.3369,#f5ba55,79.3,28
94,71.48,15.46,67.57,0.9023,0.636,0.1566,#e6a227,77.1,138
95,64.19,19.35,56.37,0.8284,0.5513,0.1971,#d38c32,71.1,11
96,70.69,28.89,71.7,0.9703,0.5882,0.1006,#f79519,68.1,17
97,73.89,23.1,55.41,0.9653,0.6411,0.3063,#f6a34e,67.4,17
98,61.37,7.89,29.57,0.7002,0.5562,0.377,#b28d60,75.1,50
99,60.6,-1.35,59.78,0.6709,0.566,0.104,#ab901a,91.3,19
100,90.5,1.07,-1.99,0.8946,0.8912,0.908,#e4e3e7,298.3,2023
101,81.66,0.45,2.94,0.8091,0.794,0.7744,#cecac5,81.3,487
102,83.06,-1.33,2.1,0.8078,0.8136,0.7955,#cdcfca,122.3,87
103,82.7,0.58,-1.17,0.8076,0.8061,0.8157,#cdcdcf,296.2,1336
104,76.15,5.62,-13.11,0.7319,0.7272,0.8308,#bab9d3,293.2,24
105,84.1,2.39,-2.71,0.8316,0.8176,0.8425,#d4d0d6,311.4,281
106,88.24,1.64,-8.42,0.8501,0.8667,0.9304,#d8dded,281.0,57
107,82.19,1.78,15.8,0.8619,0.7933,0.6865,#dbcaaf,83.6,91
108,82.27,-1.03,11.75,0.8314,0.8017,0.7165,#d4ccb6,95.0,185
109,89.04,-0.01,6.85,0.8995,0.875,0.8261,#e5dfd2,90.1,415
110,85.82,0.9,5.71,0.867,0.8376,0.7994,#ddd5cb,81.1,136
111,87.84,0.28,1.37,0.8705,0.8626,0.8535,#dddbd9,78.4,627
